sub,trl,cpos,cdur,resp,rt,type,d1,d2,correct,rt_new,c_s,inCm,UCL
5,220,1,300,2,0.33,2,300,500,1,0.33,0.5640715422739655,FALSE,0.5377876408216862
5,598,2,620,2,0.331,2,500,620,1,0.331,0.5684308268512258,FALSE,0.538154167183563
5,250,1,580,1,0.334,1,580,500,1,0.254,0.5727465185827135,FALSE,0.5385100147760189
5,402,1,660,1,0.334,1,660,500,1,0.17400000000000002,0.5770190533968864,FALSE,0.538855618839648
5,207,2,420,1,0.335,1,500,420,1,0.255,0.5812488628629175,FALSE,0.5391913881996455
5,585,2,620,2,0.335,2,500,620,1,0.335,0.5854363742342884,FALSE,0.5395177075160733
5,631,1,420,2,0.335,2,420,500,1,0.335,0.5895820104919455,FALSE,0.5398349392882696
5,514,2,580,2,0.337,2,500,580,1,0.337,0.593686190387026,FALSE,0.5401434256457633
5,210,1,500,2,0.338,3,500,500,0,0.338,NA,empty,NA
5,454,2,380,2,0.338,1,500,380,0,0.21800000000000003,0.5877493284831558,FALSE,0.5407354382520166
5,405,1,580,1,0.339,1,580,500,1,0.259,0.5918718351983242,FALSE,0.541019560560605
5,409,2,460,1,0.34,1,500,460,1,0.30000000000000004,0.595953116846341,FALSE,0.541296132047061
5,472,1,300,2,0.342,2,300,500,1,0.342,0.5999935856778776,FALSE,0.5415654140922418
5,329,2,580,2,0.344,2,500,580,1,0.344,0.6039936498210988,FALSE,0.5418276552540446
5,496,2,580,2,0.344,2,500,580,1,0.344,0.6079537133228878,FALSE,0.5420830921445251
5,107,2,620,2,0.345,2,500,620,1,0.345,0.611874176189659,FALSE,0.5423319502293498
5,299,2,620,2,0.345,2,500,620,1,0.345,0.6157554344277624,FALSE,0.5425744445579359
5,592,1,580,1,0.345,1,580,500,1,0.26499999999999996,0.6195978800834847,FALSE,0.5428107804315848
5,194,2,620,1,0.348,2,500,620,0,0.348,0.6134019012826498,FALSE,0.5430411540160143
