sub,trl,cpos,cdur,resp,rt,type,d1,d2,correct,c_s,inCm,UCL
6,52,2,420,1,415,1,500,420,1,0.8277668378151419,FALSE,0.5531391466104809
6,311,2,540,2,416,2,500,540,1,0.8294891694369905,FALSE,0.5531396829246339
6,385,2,540,2,416,2,500,540,1,0.8311942777426206,FALSE,0.5531402085608831
6,622,2,480,1,416,1,500,480,1,0.8328823349651944,FALSE,0.5531407237319257
6,25,2,440,1,417,1,500,440,1,0.8345535116155425,FALSE,0.5531412286462185
6,467,2,600,2,417,2,500,600,1,0.836207976499387,FALSE,0.5531417235080618
6,213,2,400,1,419,1,500,400,1,0.8378458967343931,FALSE,0.5531422085176828
6,136,2,500,2,420,3,500,500,0,NA,empty,NA
6,328,2,500,1,420,3,500,500,0,NA,empty,NA
6,4,2,480,1,422,1,500,480,1,0.8394674377670492,FALSE,0.553143606376086
6,112,2,460,2,422,1,500,460,0,0.8310727633893787,FALSE,0.5531440539004422
6,574,2,420,1,422,1,500,420,1,0.8327620357554849,FALSE,0.5531444925154069
6,37,2,580,2,423,2,500,580,1,0.8344344153979301,FALSE,0.5531449223984212
6,179,2,460,2,424,1,500,460,0,0.8260900712439507,FALSE,0.5531453437233893
6,519,2,500,2,424,3,500,500,0,NA,empty,NA
6,120,2,520,2,426,2,500,520,1,0.8278291705315112,FALSE,0.5531461613775429
6,161,2,460,1,427,1,500,460,1,0.829550878826196,FALSE,0.5531465580374815
6,462,2,560,2,427,2,500,560,1,0.831255370037934,FALSE,0.5531469468010147
6,660,2,580,2,427,2,500,580,1,0.8329428163375547,FALSE,0.5531473278253941
6,8,2,500,1,428,3,500,500,0,NA,empty,NA
6,309,2,520,2,428,2,500,520,1,0.8346133881741792,FALSE,0.5531480672700925
6,33,2,500,1,429,3,500,500,0,NA,empty,NA
6,202,2,560,1,432,2,500,560,0,0.8262672542924374,FALSE,0.5531487775680316
6,619,2,540,2,432,2,500,540,1,0.8280045817495131,FALSE,0.5531491221478989
6,75,2,540,2,433,2,500,540,1,0.829724535932018,FALSE,0.5531494598684591
6,118,2,440,1,433,1,500,440,1,0.8314272905726978,FALSE,0.5531497908662978
6,159,2,420,1,434,1,500,420,1,0.8331130176669709,FALSE,0.5531501152752794
6,531,2,480,1,435,1,500,480,1,0.8347818874903011,FALSE,0.5531504332266008
6,308,2,560,2,436,2,500,560,1,0.8364340686153982,FALSE,0.5531507448488453
6,324,2,560,2,436,2,500,560,1,0.8380697279292442,FALSE,0.55315105026803435
6,548,2,480,1,436,1,500,480,1,0.8396890306499517,FALSE,0.5531513496076785
6,123,2,440,1,437,1,500,440,1,0.8412921403434522,FALSE,0.553151642988828
6,170,2,540,2,437,2,500,540,1,0.8428792189400177,FALSE,0.5531519305301212
6,267,2,520,1,437,2,500,520,0,0.8344504267506175,FALSE,0.5531522123478334
6,273,2,420,1,437,1,500,420,1,0.8361059224831113,FALSE,0.553152488555923
6,219,2,460,2,438,1,500,460,0,0.8277448632582802,FALSE,0.553152759266079
6,469,2,400,1,440,1,500,400,1,0.8294674146256974,FALSE,0.553153024587765
6,181,2,460,1,441,1,500,460,1,0.8311727404794405,FALSE,0.5531532846282644
6,327,2,420,1,441,1,500,420,1,0.832861013074646,FALSE,0.5531535394927233
6,400,2,440,1,441,1,500,440,1,0.8345324029438995,FALSE,0.5531537892841938
6,492,2,480,2,441,1,500,480,0,0.8261870789144605,FALSE,0.5531540341036748
6,493,2,560,1,441,2,500,560,0,0.8179252081253159,FALSE,0.553154274050154
6,654,2,460,1,441,1,500,460,1,0.8197459560440628,FALSE,0.5531545092206474
6,83,2,520,2,442,2,500,520,1,0.8215484964836222,FALSE,0.5531547397102382
6,430,2,480,2,442,1,500,480,0,0.8133330115187859,FALSE,0.5531549656121164
6,443,2,540,2,442,2,500,540,1,0.815199681403598,FALSE,0.5531551870176157
6,543,2,460,1,442,1,500,460,1,0.817047684589562,FALSE,0.5531554040162506
6,91,2,440,2,443,1,500,440,0,0.8088772077436663,FALSE,0.5531556166957531
6,164,2,560,2,443,2,500,560,1,0.8107884356662297,FALSE,0.5531558251421078
6,312,2,520,2,444,2,500,520,1,0.8126805513095674,FALSE,0.5531560294395869
6,608,2,440,1,444,1,500,440,1,0.8145537457964718,FALSE,0.5531562296707843
6,656,2,420,1,444,1,500,420,1,0.816408208338507,FALSE,0.5531564259166488
6,55,2,460,2,445,1,500,460,0,0.808244126255122,FALSE,0.5531566182565177
6,369,2,440,2,445,1,500,440,0,0.8001616849925708,FALSE,0.5531568067681479
6,584,2,440,2,445,1,500,440,0,0.7921600681426451,FALSE,0.553156991527748
6,603,2,400,1,445,1,500,400,1,0.7942384674612186,FALSE,0.553157172610009
6,643,2,520,2,445,2,500,520,1,0.7962960827866065,FALSE,0.5531573500881343
6,468,2,560,2,446,2,500,560,1,0.7983331219587404,FALSE,0.5531575240338699
6,320,2,400,2,447,1,500,400,0,0.790349790739153,FALSE,0.5531576945175332
6,491,2,420,2,447,1,500,420,0,0.7824462928317615,FALSE,0.5531578616080408
6,540,2,420,1,447,1,500,420,1,0.7846218299034439,FALSE,0.5531580253729379
6,589,2,560,2,447,2,500,560,1,0.7867756116044095,FALSE,0.5531581858784238
6,489,2,440,2,448,1,500,440,0,0.7789078554883654,FALSE,0.5531583431893804
6,555,2,440,1,448,1,500,440,1,0.7811187769334818,FALSE,0.5531584973693973
6,571,2,500,2,448,3,500,500,0,NA,empty,NA
6,631,2,460,2,448,1,500,460,0,0.7733075891641469,FALSE,0.5531587965846647
6,394,2,400,1,449,1,500,400,1,0.7755745132725054,FALSE,0.5531589417408642
6,515,2,580,2,450,2,500,580,1,0.7778187681397803,FALSE,0.5531590840080708
6,103,2,440,1,451,1,500,440,1,0.7800405804583825,FALSE,0.5531592234437904
6,207,2,440,1,451,1,500,440,1,0.7822401746537987,FALSE,0.5531593601043844
6,65,2,400,1,452,1,500,400,1,0.7844177729072607,FALSE,0.5531594940450917
6,124,2,440,1,452,1,500,440,1,0.786573595178188,FALSE,0.5531596253200514
6,199,2,400,1,452,1,500,400,1,0.7887078592264062,FALSE,0.5531597539823248
6,659,2,400,1,452,1,500,400,1,0.7908207806341421,FALSE,0.5531598800839168
6,197,2,500,2,453,3,500,500,0,NA,empty,NA
6,581,2,500,2,453,3,500,500,0,NA,empty,NA
6,143,2,540,2,455,2,500,540,1,0.7929125728278007,FALSE,0.5531602435292455
6,292,2,540,1,455,2,500,540,0,0.7849834470995227,FALSE,0.5531603598877597
6,510,2,420,1,455,1,500,420,1,0.7871336126285275,FALSE,0.5531604739304923
